NM_MUNICIPIO,DS_CARGO,DT_ELEICAO,NM_URNA_CANDIDATO,NM_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
AMAPÁ,Vereador,06/10/2024,JANIEL SANTOS,Solidariedade,SOLIDARIEDADE,48
AMAPÁ,Vereador,06/10/2024,PRETO MOURA,Solidariedade,SOLIDARIEDADE,28
AMAPÁ,Vereador,06/10/2024,JOSENILDO OLIVEIRA,Solidariedade,SOLIDARIEDADE,17
AMAPÁ,Vereador,06/10/2024,ALESSANDRA,Solidariedade,SOLIDARIEDADE,9
AMAPÁ,Vereador,06/10/2024,ELIENE PIRES,Solidariedade,SOLIDARIEDADE,31
AMAPÁ,Vereador,06/10/2024,PASTOR MORENO,Solidariedade,SOLIDARIEDADE,28
AMAPÁ,Vereador,06/10/2024,LILI GUIMARAES,Solidariedade,SOLIDARIEDADE,228
MACAPÁ,Prefeito,06/10/2024,PAULO 50,Partido Socialismo e Liberdade,PSOL,14273
MACAPÁ,Prefeito,06/10/2024,PAULO 50,Partido Socialismo e Liberdade,PSOL,9218
MACAPÁ,Prefeito,06/10/2024,PATRICIA FERRAZ,Partido da Social Democracia Brasileira,PSDB,819
MACAPÁ,Prefeito,06/10/2024,PATRICIA FERRAZ,Partido da Social Democracia Brasileira,PSDB,1016
MACAPÁ,Prefeito,06/10/2024,ALINE 10,REPUBLICANOS,REPUBLICANOS,5570
MACAPÁ,Prefeito,06/10/2024,ALINE 10,REPUBLICANOS,REPUBLICANOS,3327
MACAPÁ,Prefeito,06/10/2024,DR FURLAN,Movimento Democrático Brasileiro,MDB,89750
MACAPÁ,Prefeito,06/10/2024,DR FURLAN,Movimento Democrático Brasileiro,MDB,114541
MACAPÁ,Prefeito,06/10/2024,GIANFRANCO,Partido Socialista dos Trabalhadores Unificado,PSTU,182
MACAPÁ,Prefeito,06/10/2024,GIANFRANCO,Partido Socialista dos Trabalhadores Unificado,PSTU,378
MACAPÁ,Prefeito,06/10/2024,JAIRO PALHETA,Partido da Causa Operária,PCO,124
MACAPÁ,Prefeito,06/10/2024,JAIRO PALHETA,Partido da Causa Operária,PCO,75
MACAPÁ,Prefeito,06/10/2024,SHARON BRAGA,Partido Novo,NOVO,141
